Town,Stadium,31/05/2002,,,,01/06/2002,,,,02/06/2002,,,,03/06/2002,,,,04/06/2002,,,,05/06/2002,,,,06/06/2002,,,,07/06/2002,,,,08/06/2002,,,,09/06/2002,,,,10/06/2002,,,,11/06/2002,,,,12/06/2002,,,,13/06/2002,,,,14/06/2002,,,,15/06/2002,,,,16/06/2002,,,,17/06/2002,,,,18/06/2002,,,,21/06/2002,,,,22/06/2002,,,,25/06/2002,,,,26/06/2002,,,,29/06/2002,,,,30/06/2002,,,
Yokohama,International Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,20:30,H1,H3,,,,,36,20:30,E4,E1,,,,,44,20:30,G4,G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,20:00,W1,W2
Saitama,Saitama Stadium 2002,,,,,,,,,7,18:30,F3,F4,,,,,13,18:00,H1,H2,,,,,19,18:00,E2,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,20:30,C,D,,,,,,,,
Fukuroi,Shizuoka 'ECOPA' Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,20:30,E2,E3,,,,,,,,,46,15:30,H2,H3,,,,,,,,,,,,,,,,,59,15:30,5,6,,,,,,,,,,,,,,,,,,,,
Osaka,Nagai Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,15:30,F2,F3,,,,,45,15:30,H4,H1,,,,,,,,,,,,,,,,,,,,,60,20:30,7,8,,,,,,,,,,,,,,,,
Rifu,Miyagi Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,15:30,G2,G4,,,,,,,,,37,15:30,F4,F1,,,,,,,,,,,,,,,,,,,,,56,15:30,1H,2C,,,,,,,,,,,,,,,,,,,,,,,,
?ita,?ita Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,18:00,H4,H2,,,,,,,,,43,20:30,G2,G3,,,,,,,,,55,15:30,1F,2A,,,,
Niigata,Niigata Stadium,,,,,2,15:30,E1,E2,,,,,9,15:30,G1,G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,20:30,1A,2F,,,,,,,,
Kashima,Kashima Stadium,,,,,,,,,5,14:30,F1,F2,,,,,,,,,17,20:30,E3,E1,,,,,,,,,25,18:00,G3,G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe,Kobe Wing Stadium,,,,,,,,,,,,,,,,,,,,,15,15:30,H3,H4,,,,,21,15:30,F4,F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,20:30,1C,2H
Sapporo,Sapporo Dome,,,,,,,,,4,20:30,E3,E4,11,20:30,G3,G4,,,,,,,,,,,,,23,20:30,F1,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
